update,actor_loss,critic_loss,imagined_reward_mean,imagined_return_mean,action_entropy
160,2.274956703186035,7.134315490722656,-0.2823934853076935,-2.2754383087158203,0.481499582529068
161,2.33032488822937,7.763103485107422,-0.3000011742115021,-2.3307647705078125,0.4399429261684418
162,2.1331934928894043,6.553852081298828,-0.27108633518218994,-2.1336355209350586,0.4419807195663452
163,1.940883994102478,6.833126544952393,-0.2291596680879593,-1.9413172006607056,0.43321481347084045
164,2.240262031555176,7.539249897003174,-0.2815602719783783,-2.2406623363494873,0.4003526270389557
165,2.0347483158111572,7.053462982177734,-0.24357040226459503,-2.03515625,0.40804681181907654
166,2.1077003479003906,7.563052654266357,-0.2542767822742462,-2.1080758571624756,0.37546953558921814
167,2.4255754947662354,7.132106781005859,-0.3162328600883484,-2.425929307937622,0.35372504591941833
168,2.1826794147491455,6.806347370147705,-0.2732580006122589,-2.18304443359375,0.3650287091732025
169,2.3342199325561523,6.6168212890625,-0.2865387201309204,-2.3345677852630615,0.3479520082473755
170,2.1745686531066895,6.364742279052734,-0.2668786346912384,-2.174906015396118,0.33732664585113525
171,1.841744303703308,6.305168628692627,-0.21379518508911133,-1.8420710563659668,0.3267594575881958
172,2.2737746238708496,7.284779071807861,-0.2773672342300415,-2.2740492820739746,0.2746969163417816
173,2.4635324478149414,7.4957709312438965,-0.31478819251060486,-2.463813066482544,0.2807033061981201
174,2.1037588119506836,6.970743656158447,-0.25181329250335693,-2.1040258407592773,0.2669849395751953
175,2.3026552200317383,6.915071487426758,-0.28145280480384827,-2.3029189109802246,0.2636122703552246
176,2.2429420948028564,6.917093753814697,-0.2852391302585602,-2.243206739425659,0.2646958529949188
177,2.2473514080047607,6.066504001617432,-0.27490389347076416,-2.2476284503936768,0.2769731283187866
178,2.5744102001190186,7.6675124168396,-0.3307007849216461,-2.5746355056762695,0.2252274751663208
179,1.7385393381118774,5.718040943145752,-0.19276408851146698,-1.7388159036636353,0.2765169143676758
180,1.9237183332443237,6.148153781890869,-0.21482644975185394,-1.9239526987075806,0.23441432416439056
181,2.4850823879241943,7.124496936798096,-0.31005725264549255,-2.4852988719940186,0.2164856195449829
182,2.145094394683838,6.26095724105835,-0.2648000419139862,-2.145311117172241,0.21677426993846893
183,2.3110392093658447,6.362670421600342,-0.28113552927970886,-2.3112576007843018,0.2184806615114212
184,2.2505557537078857,7.1663818359375,-0.26823410391807556,-2.250749111175537,0.19326592981815338
185,2.374737024307251,6.344903469085693,-0.2935110330581665,-2.374924898147583,0.18775628507137299
186,2.3459577560424805,6.1346306800842285,-0.2937699854373932,-2.3461079597473145,0.15024377405643463
187,1.9586533308029175,5.797027587890625,-0.2230084091424942,-1.9588499069213867,0.196517214179039
188,1.9575321674346924,5.392329692840576,-0.23503072559833527,-1.9576951265335083,0.16295494139194489
189,2.1594223976135254,5.966043472290039,-0.26018956303596497,-2.159559726715088,0.13741499185562134
190,2.452122211456299,6.140198230743408,-0.3184017539024353,-2.4522545337677,0.1322346180677414
191,2.264486312866211,5.988674163818359,-0.2832011580467224,-2.2646028995513916,0.1166345551609993
192,2.2722058296203613,5.782627582550049,-0.2789069712162018,-2.2723124027252197,0.10650678724050522
193,2.005033254623413,5.6535773277282715,-0.23634912073612213,-2.0051441192626953,0.11086723953485489
194,2.6341042518615723,6.0309319496154785,-0.33652710914611816,-2.6341984272003174,0.09417470544576645
195,2.232034921646118,5.150747299194336,-0.2762661874294281,-2.2321529388427734,0.11800835281610489
196,2.3715505599975586,5.327630519866943,-0.2904946506023407,-2.371644973754883,0.09441456198692322
197,2.193328380584717,5.174251556396484,-0.26827704906463623,-2.1934144496917725,0.08614832162857056
198,2.1784346103668213,6.861624240875244,-0.25447186827659607,-2.1785173416137695,0.08275730162858963
199,2.0138583183288574,5.58073091506958,-0.23298275470733643,-2.0139389038085938,0.08048855513334274
200,2.2776806354522705,5.175844669342041,-0.27252939343452454,-2.2777698040008545,0.08922766894102097
201,2.460721015930176,6.404008865356445,-0.3085150718688965,-2.4607691764831543,0.04804368317127228
202,2.162189483642578,5.158203601837158,-0.26178082823753357,-2.162257671356201,0.06818453222513199
203,2.6740448474884033,6.601335525512695,-0.33709001541137695,-2.6740493774414062,0.004420722369104624
204,2.4827675819396973,5.587675094604492,-0.3116239607334137,-2.4828040599823,0.036487262696027756
205,2.0278584957122803,4.397928714752197,-0.23928429186344147,-2.0279242992401123,0.06573302298784256
206,2.0996880531311035,5.424123287200928,-0.25526145100593567,-2.0997486114501953,0.06046709045767784
207,2.084428548812866,5.219827175140381,-0.2594769597053528,-2.0844566822052,0.02808908186852932
208,2.288486957550049,4.993852615356445,-0.27949967980384827,-2.288494110107422,0.00715182488784194
209,2.235978126525879,4.768431663513184,-0.2805027365684509,-2.235995054244995,0.016969164833426476
210,2.6309444904327393,5.0899224281311035,-0.3357751667499542,-2.630978584289551,0.03414653614163399
211,2.272841215133667,4.542837142944336,-0.2855904698371887,-2.272831678390503,-0.009433013387024403
212,2.1177217960357666,4.938718318939209,-0.25825822353363037,-2.117734909057617,0.013026068918406963
213,2.5134687423706055,5.175407886505127,-0.3197217881679535,-2.513458490371704,-0.010205631144344807
214,2.322650671005249,4.995285511016846,-0.29477301239967346,-2.3226280212402344,-0.02258536033332348
215,2.2853715419769287,4.400405406951904,-0.28473415970802307,-2.2853548526763916,-0.016700005158782005
216,2.203963041305542,4.465024948120117,-0.26976442337036133,-2.2039601802825928,-0.002905485453084111
217,2.4910058975219727,4.494944095611572,-0.32486099004745483,-2.490973711013794,-0.03216477110981941
218,2.1463382244110107,4.797540187835693,-0.2585843801498413,-2.146315574645996,-0.02256356179714203
219,2.3664391040802,4.0301833152771,-0.2993137836456299,-2.366426467895508,-0.012709241360425949
220,2.350311040878296,4.465181827545166,-0.29209473729133606,-2.3502321243286133,-0.07887230813503265
221,2.1701772212982178,4.627979755401611,-0.261213093996048,-2.1701276302337646,-0.04963397607207298
222,2.028965473175049,4.3839569091796875,-0.25147172808647156,-2.028902530670166,-0.06285404413938522
223,2.359051465988159,4.019189357757568,-0.29867878556251526,-2.3589792251586914,-0.07227804511785507
224,2.176851511001587,4.4130682945251465,-0.27827921509742737,-2.17680287361145,-0.04867345467209816
225,2.245486259460449,4.820035457611084,-0.2743910253047943,-2.24541974067688,-0.06659630686044693
226,2.344655990600586,4.06735372543335,-0.3040234446525574,-2.344586133956909,-0.06995555013418198
227,2.2358481884002686,4.068830966949463,-0.2880059778690338,-2.2357780933380127,-0.0701005831360817
228,2.147200107574463,3.822704553604126,-0.2681581676006317,-2.147132635116577,-0.06742865592241287
229,2.5674548149108887,4.008518695831299,-0.3322543799877167,-2.5673305988311768,-0.12426669150590897
230,2.1474924087524414,4.210364818572998,-0.25836798548698425,-2.1474130153656006,-0.0793195441365242
231,2.008249282836914,4.082882404327393,-0.24512656033039093,-2.0082013607025146,-0.04803556576371193
232,1.804051160812378,3.8822333812713623,-0.22372370958328247,-1.8039766550064087,-0.07448874413967133
233,1.838782548904419,4.031137943267822,-0.23305493593215942,-1.8386541604995728,-0.12839753925800323
234,2.245418071746826,3.655369997024536,-0.28238266706466675,-2.2453269958496094,-0.09117863327264786
235,1.7613459825515747,3.7012417316436768,-0.21924781799316406,-1.761266827583313,-0.07916969060897827
236,2.2008347511291504,3.7210853099823,-0.28802359104156494,-2.200711727142334,-0.12311878055334091
237,2.161799669265747,4.064565658569336,-0.2805228531360626,-2.1616694927215576,-0.13018538057804108
238,1.8061448335647583,3.405977964401245,-0.23069454729557037,-1.8060373067855835,-0.10755214840173721
239,1.935975193977356,3.9967095851898193,-0.2416088730096817,-1.9358333349227905,-0.1419089287519455
240,1.932310700416565,3.6111533641815186,-0.24281613528728485,-1.9321870803833008,-0.12365413457155228
241,2.289137840270996,3.54137921333313,-0.3114438056945801,-2.2889955043792725,-0.14235152304172516
242,1.9499680995941162,3.351494550704956,-0.2507554590702057,-1.9498419761657715,-0.1261749416589737
243,1.8510493040084839,3.0749454498291016,-0.2584906816482544,-1.85090172290802,-0.1476261168718338
244,2.228372812271118,3.2392046451568604,-0.2945909798145294,-2.22823429107666,-0.1385243982076645
245,2.2867603302001953,3.5162951946258545,-0.30349335074424744,-2.286602258682251,-0.15814416110515594
246,2.3527281284332275,3.5894696712493896,-0.3014947474002838,-2.352583885192871,-0.14429527521133423
247,1.9965181350708008,3.382855176925659,-0.26329556107521057,-1.9963725805282593,-0.1455717235803604
248,2.195668935775757,3.258925676345825,-0.2916017472743988,-2.195513963699341,-0.154887855052948
249,1.7603092193603516,3.2248051166534424,-0.2321830838918686,-1.7601604461669922,-0.14881712198257446
250,2.0160083770751953,3.489661455154419,-0.26609060168266296,-2.01582932472229,-0.1790560483932495
251,2.2123496532440186,3.326141119003296,-0.29441073536872864,-2.212188482284546,-0.16124702990055084
252,2.1052606105804443,3.0824708938598633,-0.293590784072876,-2.105051040649414,-0.20948658883571625
253,1.8660438060760498,3.395289421081543,-0.24236343801021576,-1.865881085395813,-0.16274814307689667
254,1.8886035680770874,3.1396982669830322,-0.25541946291923523,-1.8884501457214355,-0.15339462459087372
255,2.3763022422790527,3.0421488285064697,-0.3326928913593292,-2.376108407974243,-0.19380879402160645
256,2.3842878341674805,3.0552403926849365,-0.318448930978775,-2.384077787399292,-0.20994031429290771
257,1.754799723625183,2.997044801712036,-0.23546485602855682,-1.7546501159667969,-0.14961375296115875
258,1.756607174873352,2.799408197402954,-0.23797400295734406,-1.7564482688903809,-0.15895038843154907
259,1.799309253692627,2.7617385387420654,-0.25541436672210693,-1.7991291284561157,-0.18012146651744843
260,1.871389627456665,3.196324586868286,-0.2701973617076874,-1.8711662292480469,-0.22337888181209564
261,1.6512579917907715,3.1106977462768555,-0.2385243922472,-1.6510448455810547,-0.21320275962352753
262,2.3032712936401367,3.0825843811035156,-0.3293292224407196,-2.3030526638031006,-0.21869133412837982
263,1.5825724601745605,3.1015403270721436,-0.2123786211013794,-1.5823850631713867,-0.1874275803565979
264,2.1392908096313477,3.0585861206054688,-0.3206040561199188,-2.1390328407287598,-0.257999062538147
265,1.837906837463379,2.8684051036834717,-0.2669813632965088,-1.837708830833435,-0.1979939490556717
266,1.6057757139205933,3.0220367908477783,-0.23671197891235352,-1.6055593490600586,-0.21640928089618683
267,1.5502976179122925,2.8568532466888428,-0.2244868129491806,-1.550093650817871,-0.20401416718959808
268,1.7444320917129517,2.616615056991577,-0.2646619975566864,-1.744199275970459,-0.2328283190727234
269,1.8926880359649658,2.7656631469726562,-0.29164260625839233,-1.8924444913864136,-0.2434857040643692
270,1.4876943826675415,2.8128299713134766,-0.23035867512226105,-1.487474799156189,-0.21961860358715057
271,2.0967514514923096,2.3960769176483154,-0.3274959325790405,-2.0965046882629395,-0.24668455123901367
272,1.9772608280181885,2.765101432800293,-0.29323622584342957,-1.9769881963729858,-0.2726522386074066
273,1.9664685726165771,2.961901903152466,-0.2917387783527374,-1.9662233591079712,-0.24526363611221313
274,1.4466569423675537,2.964010238647461,-0.24369113147258759,-1.4464138746261597,-0.24305255711078644
275,2.0382959842681885,2.6218020915985107,-0.3028835654258728,-2.038034677505493,-0.2613275647163391
276,1.7717359066009521,2.594777822494507,-0.2820567190647125,-1.7714930772781372,-0.24283194541931152
277,1.4913666248321533,2.784749746322632,-0.24428331851959229,-1.4911218881607056,-0.24469494819641113
278,1.2978459596633911,2.7731332778930664,-0.2309545874595642,-1.29757821559906,-0.2677055299282074
279,1.7988340854644775,2.9712412357330322,-0.29293307662010193,-1.7985399961471558,-0.2940481901168823
280,1.7908391952514648,2.435739755630493,-0.2874987721443176,-1.7905665636062622,-0.2726213037967682
281,1.6806446313858032,2.6023519039154053,-0.25402167439460754,-1.6804147958755493,-0.22981716692447662
282,1.7053622007369995,2.605417013168335,-0.27354374527931213,-1.7050790786743164,-0.2830701768398285
283,1.7891873121261597,2.9585025310516357,-0.28342339396476746,-1.7889394760131836,-0.24778489768505096
284,0.9930505752563477,2.800410509109497,-0.18948154151439667,-0.9928224682807922,-0.2281009554862976
285,1.449803352355957,2.8124513626098633,-0.24995316565036774,-1.449517846107483,-0.2854979336261749
286,1.081160306930542,2.955195665359497,-0.20527750253677368,-1.0808963775634766,-0.26398178935050964
287,1.7045058012008667,2.914424180984497,-0.27626392245292664,-1.7042192220687866,-0.28654399514198303
288,1.6513123512268066,2.640630006790161,-0.2711479365825653,-1.651053786277771,-0.2585736811161041
289,1.5679283142089844,2.697028875350952,-0.27727246284484863,-1.5676279067993164,-0.30046582221984863
290,1.628125786781311,2.602797269821167,-0.26656654477119446,-1.6278328895568848,-0.29286423325538635
291,0.9978125691413879,2.8922243118286133,-0.20248176157474518,-0.9975358843803406,-0.27668869495391846
292,1.3210241794586182,2.5662624835968018,-0.23987610638141632,-1.3207440376281738,-0.28008756041526794
